"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","863","Get photos API","chromium","2026-08-22","passed","2026-08-22","","api_photo.spec.ts","",""
"","177","Getting single Api photo","firefox","2026-08-22","passed","2026-08-22","","single_api_photo.spec.ts","",""
"","2734","Get photos API","firefox","2026-08-22","passed","2026-08-22","","api_photo.spec.ts","",""
"","405","Post New API photo","chromium","2026-08-22","passed","2026-08-22","","post_new_photo.spec.ts","",""
"","770","Updating the data of photo api","chromium","2026-08-22","passed","2026-08-22","","put_photoapi.spec.ts","",""
"","365","Post New API photo","webkit","2026-08-22","failed","2026-08-22","","post_new_photo.spec.ts","",""
"","618","Getting single Api photo","chromium","2026-08-22","passed","2026-08-22","","single_api_photo.spec.ts","",""
"","1787","Delete photo api","firefox","2026-08-22","passed","2026-08-22","","delete_photo.spec.ts","",""
"","621","Getting single Api photo","webkit","2026-08-22","passed","2026-08-22","","single_api_photo.spec.ts","",""
"","379","Delete photo api","webkit","2026-08-22","passed","2026-08-22","","delete_photo.spec.ts","",""
"","1466","Post New API photo","firefox","2026-08-22","failed","2026-08-22","","post_new_photo.spec.ts","",""
"","627","Updating the data of photo api","webkit","2026-08-22","passed","2026-08-22","","put_photoapi.spec.ts","",""
"","1193","Updating the data of photo api","firefox","2026-08-22","passed","2026-08-22","","put_photoapi.spec.ts","",""
"","430","Delete photo api","chromium","2026-08-22","passed","2026-08-22","","delete_photo.spec.ts","",""
"","1873","Get photos API","webkit","2026-08-22","passed","2026-08-22","","api_photo.spec.ts","",""
